Provider  	Language	AlertFile                     	  BLEU
googlecloud	km   	tornado_warning_1.txt         	  6.17
googlecloud	km   	tornado_warning_2.txt         	  3.25
googlecloud	km   	tornado_warning_3.txt         	 12.67
googlecloud	km   	tornado_warning_4.txt         	  0.93
googlecloud	km   	tornado_warning_5.txt         	  2.87
googlecloud	km   	tornado_watch_1.txt           	  3.22
googlecloud	km   	tornado_watch_2.txt           	  3.75
googlecloud	km   	tornado_watch_3.txt           	  1.55
googlecloud	km   	tornado_watch_4.txt           	  2.61
googlecloud	km   	tstorm_warning_1.txt          	  6.25
googlecloud	km   	tstorm_warning_2.txt          	  2.12
googlecloud	km   	tstorm_warning_3.txt          	  6.02
googlecloud	km   	tstorm_warning_4.txt          	  1.21
googlecloud	km   	tstorm_warning_5.txt          	  6.54
googlecloud	km   	tstorm_watch_1.txt            	  0.08
googlecloud	km   	tstorm_watch_2.txt            	  3.02
googlecloud	km   	tsunami_advisory_1.txt        	  1.47
googlecloud	km   	tsunami_advisory_2.txt        	  3.19
googlecloud	km   	tsunami_info_statement_1.txt  	  1.04
googlecloud	km   	tsunami_info_statement_2.txt  	  3.33
googlecloud	km   	tsunami_test_template.txt     	  0.73
googlecloud	km   	tsunami_threat_message.txt    	  0.29
googlecloud	km   	tsunami_warning_1.txt         	  1.02
googlecloud	km   	tsunami_warning_cancel.txt    	  0.81
googlecloud	km   	wind_advisory_1.txt           	  4.27
googlecloud	km   	winterstorm_advisory_1.txt    	  5.33
googlecloud	km   	winterstorm_warning_1_long.txt	  3.40
googlecloud	km   	winterstorm_warning_2_short.txt	  7.57
googlecloud	km   	winterstorm_warning_3.txt     	  5.00
googlecloud	km   	winterstorm_watch_1.txt       	  0.08
googlecloud	km   	winterstorm_watch_2.txt       	  1.07
googlecloud	km   	winterstorm_watch_3.txt       	  2.23
googlecloud	so   	avalanche_warning_1.txt       	  0.58
